"Term"	"Gene_ID"	"Symbol"	"Description_(17-11-2018)"	"Short_description_(31-12-2018)"	"Curator_summary_(31-12-2018)"	"PlantTFDB"	"AGRIS_AtTFDB"	"Cell_Cycle_(van_Leene_2010)"	"Leaf_Development"	"Term"	"logFC.d13"	"p.value.d13"	"FDR.d13"	"logFC.d16"	"FDR.d16"	"logFC.d20"	"p.value.d20"	"FDR.d20"	"logFC.d20.lt"	"p.value.d20.lt"	"FDR.d20.lt"
1.52139469013522e-09	"AT2G23170"	"GH3.3"	"Auxin-responsive GH3 family protein"	"Auxin-responsive GH3 family protein"	"encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro."	"-"	"-"	"-"	"-"	"Auxin"	1.18492061098587	0.000325207594153335	0.00724409480905793	5.57937083633918	9.72696475716962e-06	3.47710960059502	5.22237980918564e-08	5.2042389109011e-05	4.10799963851531	1.22995094906703e-08	2.32878912696352e-05
1.52139469013522e-09	"AT2G23170"	"GH3.3"	"Auxin-responsive GH3 family protein"	"Auxin-responsive GH3 family protein"	"encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro."	"-"	"-"	"-"	"-"	"Auxin_metabolism"	1.18492061098587	0.000325207594153335	0.00724409480905793	5.57937083633918	9.72696475716962e-06	3.47710960059502	5.22237980918564e-08	5.2042389109011e-05	4.10799963851531	1.22995094906703e-08	2.32878912696352e-05
1.52139469013522e-09	"AT2G23170"	"GH3.3"	"Auxin-responsive GH3 family protein"	"Auxin-responsive GH3 family protein"	"encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro."	"-"	"-"	"-"	"-"	"GH3"	1.18492061098587	0.000325207594153335	0.00724409480905793	5.57937083633918	9.72696475716962e-06	3.47710960059502	5.22237980918564e-08	5.2042389109011e-05	4.10799963851531	1.22995094906703e-08	2.32878912696352e-05
1.52139469013522e-09	"AT2G23170"	"GH3.3"	"Auxin-responsive GH3 family protein"	"Auxin-responsive GH3 family protein"	"encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro."	"-"	"-"	"-"	"-"	"Auxin_induced"	1.18492061098587	0.000325207594153335	0.00724409480905793	5.57937083633918	9.72696475716962e-06	3.47710960059502	5.22237980918564e-08	5.2042389109011e-05	4.10799963851531	1.22995094906703e-08	2.32878912696352e-05
7.37219425487653e-09	"AT1G04180"	"YUC9"	"YUCCA 9"	"YUCCA 9"	"-"	"-"	"-"	"-"	"leafdata"	"Auxin_metabolism"	4.02487160463606	7.63460689955411e-07	0.000569966531712644	7.66136977907708	2.38120533582426e-05	3.25611823024325	8.35771037955626e-07	0.000243453674348489	3.3758803724272	5.91877575245522e-07	0.000158853359507029
7.37219425487653e-09	"AT1G04180"	"YUC9"	"YUCCA 9"	"YUCCA 9"	"-"	"-"	"-"	"-"	"leafdata"	"Auxin"	4.02487160463606	7.63460689955411e-07	0.000569966531712644	7.66136977907708	2.38120533582426e-05	3.25611823024325	8.35771037955626e-07	0.000243453674348489	3.3758803724272	5.91877575245522e-07	0.000158853359507029
7.37219425487653e-09	"AT1G04180"	"YUC9"	"YUCCA 9"	"YUCCA 9"	"-"	"-"	"-"	"-"	"leafdata"	"YUCCAs"	4.02487160463606	7.63460689955411e-07	0.000569966531712644	7.66136977907708	2.38120533582426e-05	3.25611823024325	8.35771037955626e-07	0.000243453674348489	3.3758803724272	5.91877575245522e-07	0.000158853359507029
1.06616325261371e-08	"AT3G46370"	"AT3G46370"	"Leucine-rich repeat protein kinase family protein"	"Leucine-rich repeat protein kinase family protein"	"-"	"-"	"-"	"-"	"-"	"Kinase"	-3.8568590157795	5.63388451390285e-09	3.77141034044291e-05	-2.79823483150299	2.5233418781235e-05	0.978952158297386	0.000121338579530715	0.00383543349721963	0.971738211598486	0.000124693159244656	0.00318515769723824
4.78421637847143e-08	"AT5G22500"	"FAR1"	"fatty acid reductase 1"	"fatty acid reductase 1"	"Encodes a member of the eight-member gene family encoding alcohol-forming fatty acyl-CoA reductases (FARs) identified in Arabidopsis thaliana.  Three of the FARs, FAR1 (At5g22500), FAR4 (At3g44540) and FAR5 (At3g44550), are shown to generate the fatty alcohols found in root, seed coat, and wound-induced leaf tissue."	"-"	"-"	"YES"	"-"	"fatty.acid"	0.121155538331016	0.522093718087882	0.659534748213368	2.62150098986786	8.23494117363437e-05	3.3166312258932	5.93492666079092e-09	2.22573212325729e-05	4.38713703860929	5.32075128892662e-10	4.39334784781506e-06
7.47551796850505e-08	"AT3G16770"	"EBP"	"ethylene-responsive element binding protein"	"ethylene-responsive element binding protein"	"Encodes a member of the ERF (ethylene response factor) subfamily B-2 of the plant specific ERF/AP2 transcription factor family (RAP2.3).  The protein contains one AP2 domain. There are 5 members in this subfamily including RAP2.2 AND RAP2.12.It is localized to the nucleus and acts as a transcriptional activator through the GCC-box. It has been identified as a suppressor of Bax-induced cell death by functional screening in yeast and can also suppress Bax-induced cell death in tobacco plants. Overexpression of this gene in tobacco BY-2 cells confers resistance to H2O2 and heat stresses. Overexpression in Arabidopsis causes upregulation of PDF1.2 and GST6.   It is part of the ethylene signaling pathway and is predicted to act downstream of EIN2 and CTR1, but not under EIN3. The mRNA is cell-to-cell mobile."	"ERF"	"AP2-EREBP"	"-"	"-"	"Heat"	1.61290547761979	4.0097363285213e-06	0.00116800534837265	2.49422576339049	0.000101101040868339	1.523737057766	6.05232331491071e-06	0.000655472186064945	1.55139981830199	5.14190475251295e-06	0.000513451512129997
